"Years";"Weeks";"Gross margin 1 - Dema MTA";"Compare range: Gross margin 1 - Dema MTA";"Gross margin 2 - Dema MTA";"Compare range: Gross margin 2 - Dema MTA";"Net gross margin 1 - Dema MTA";"Compare range: Net gross margin 1 - Dema MTA";"Net gross margin 2 - Dema MTA";"Compare range: Net gross margin 2 - Dema MTA"
"2023";"Week 4, 2023";"0.7767635486456427";"0";"0.609532737328126";"0";"0.7769333395504724";"0";"0.5885508855829747";"0"
"2023";"Week 5, 2023";"0.782980284636994";"0";"0.6154100079496195";"0";"0.7829367321710852";"0";"0.5942978090217843";"0"
"2023";"Week 6, 2023";"0.8038177750313341";"0";"0.6296189656254539";"0";"0.8031747936673035";"0";"0.602066253402433";"0"
"2023";"Week 7, 2023";"0.7941057589443234";"0";"0.6327833274488842";"0";"0.7942491387913078";"0";"0.6092683653576287";"0"
"2023";"Week 8, 2023";"0.8042118592508875";"0";"0.6515287276190181";"0";"0.8031689407580339";"0";"0.6203819769399789";"0"
"2023";"Week 9, 2023";"0.791545663623898";"0";"0.6366860162294429";"0";"0.7907504615288831";"0";"0.6102778922086108";"0"
"2023";"Week 10, 2023";"0.799200834498627";"0";"0.6425022534178043";"0";"0.7973980542446372";"0";"0.6099120935092084";"0"
"2023";"Week 11, 2023";"0.7977351160377354";"0";"0.6392325762459543";"0";"0.7990486493756875";"0";"0.6162348955650958";"0"
"2023";"Week 12, 2023";"0.7850099893482114";"0";"0.6303326814386752";"0";"0.785149044752637";"0";"0.6031675209225589";"0"
"2023";"Week 13, 2023";"0.7938695081336948";"0";"0.6390921279416691";"0";"0.7939570928191012";"0";"0.6206179394113556";"0"
"2023";"Week 14, 2023";"0.7943726998771444";"0";"0.64165774603847";"0";"0.794044959117167";"0";"0.6144986843669812";"0"
"2023";"Week 15, 2023";"0.7700563698209456";"0";"0.6262658151319088";"0";"0.7660448583937901";"0";"0.5839054556735973";"0"
"2023";"Week 16, 2023";"0.8049192250476168";"0";"0.6637006692272748";"0";"0.8036541098074054";"0";"0.6120056029228779";"0"
"2023";"Week 17, 2023";"0.8067330687553329";"0";"0.6639271708002247";"0";"0.8044260925916915";"0";"0.6066631944989641";"0"
"2023";"Week 18, 2023";"0.7982101550027365";"0";"0.6460016773580359";"0";"0.7970474772075667";"0";"0.6072539825552886";"0"
"2023";"Week 19, 2023";"0.8023427640989078";"0";"0.6514282798201638";"0";"0.8008547369733283";"0";"0.6118084115580156";"0"
"2023";"Week 20, 2023";"0.7924790006420063";"0";"0.6486626775090235";"0";"0.7887946684868755";"0";"0.6061887461878313";"0"
"2023";"Week 21, 2023";"0.794254564766197";"0";"0.6469079093700322";"0";"0.7922657547760261";"0";"0.6074680499044508";"0"
"2023";"Week 22, 2023";"0.7959684034961648";"0";"0.6584340931370517";"0";"0.7971357349046108";"0";"0.6208654164291936";"0"
"2023";"Week 23, 2023";"0.76142433839555";"0";"0.6106268334787669";"0";"0.7602404442728067";"0";"0.5592699335685299";"0"
"2023";"Week 24, 2023";"0.7807430372684687";"0";"0.6225539680891388";"0";"0.7828680977225224";"0";"0.5907444834741731";"0"
"2023";"Week 25, 2023";"0.7768166708207191";"0";"0.621186654218677";"0";"0.7778462472261817";"0";"0.5713664591834341";"0"
"2023";"Week 26, 2023";"0.777969667103541";"0";"0.6176824465563258";"0";"0.7812121730931102";"0";"0.5804949845066885";"0"
"2023";"Week 27, 2023";"0.7758428637081581";"0";"0.6268765962854919";"0";"0.778712090637459";"0";"0.577641073722743";"0"
"2023";"Week 28, 2023";"0.7467979388755847";"0";"0.5722164164191775";"0";"0.7516898140929698";"0";"0.5259206637641434";"0"
"2023";"Week 29, 2023";"0.7505102757026455";"0";"0.5773507658422675";"0";"0.7560486592822216";"0";"0.5419522326210456";"0"
"2023";"Week 30, 2023";"0.7649132240218283";"0";"0.5994911401923722";"0";"0.7664173233691315";"0";"0.5578867561207492";"0"
"2023";"Week 31, 2023";"0.7571434768716354";"0";"0.5884460309136536";"0";"0.764045912238021";"0";"0.5588730272303718";"0"
